SK_ID_CURR,TARGET
100001,0.036999185
100005,0.18985422
100013,0.06646833
100028,0.014912645
100038,0.19848832
100042,0.09749082
100057,0.0129477335
100065,0.05849328
100066,0.0066913357
100067,0.18069822
100074,0.024783392
100090,0.026442355
100091,0.15359063
100092,0.043874003
100106,0.04066705
100107,0.1774237
100109,0.06144595
100117,0.026264425
100128,0.12970316
100141,0.05503457
100150,0.04848292
100168,0.005556822
100169,0.031706218
100170,0.25739023
100171,0.026647434
100172,0.18857244
100184,0.09636467
100187,0.041461457
100212,0.012027126
100222,0.034810822
100223,0.025533583
100232,0.007390988
100241,0.1378231
100245,0.038648527
100253,0.03925804
100256,0.067878805
100271,0.013896321
100278,0.42553875
100280,0.007887584
100306,0.17063586
100311,0.094825484
100312,0.021272713
100330,0.08470743
100331,0.029065367
100352,0.09738981
100358,0.036972333
100367,0.015101153
100382,0.09880439
100384,0.020436537
100385,0.07425961
100386,0.018471891
100399,0.07321626
100404,0.050679423
100416,0.0054442943
100422,0.04103548
100426,0.039569575
100438,0.027467838
100444,0.13832785
100445,0.17114922
100446,0.07903068
100447,0.011979929
100450,0.11173898
100466,0.01113004
100483,0.020584129
100484,0.011165184
100494,0.054455526
100510,0.041631494
100512,0.0137295425
100517,0.04013637
100548,0.047995903
100551,0.028182736
100552,0.061912112
100553,0.02822748
100561,0.18859735
100568,0.37679353
100569,0.010648361
100591,0.15308686
100592,0.030287255
100602,0.020543622
100607,0.031855598
100613,0.07265651
100617,0.07341763
100618,0.046458308
100622,0.040985074
100625,0.06840272
100677,0.13690135
100699,0.04728171
100702,0.38486478
100711,0.038657896
100729,0.103116915
100740,0.18563694
100744,0.06765321
100745,0.048909113
100747,0.07766992
100751,0.41439116
100752,0.02255641
100753,0.20952891
100754,0.37635604
100760,0.05105025
100762,0.053907495
100763,0.018758157
100765,0.010939474
100770,0.056941863
100772,0.019105535
100777,0.009801072
100791,0.0061841626
100792,0.01178123
100797,0.04531412
100823,0.026019676
100826,0.0652874
100830,0.02240656
100836,0.2531743
100872,0.07781073
100910,0.02062882
100913,0.10023057
100918,0.009303607
100931,0.010175726
100952,0.034762293
100953,0.015412805
100965,0.19358146
100970,0.06042015
100982,0.2486575
100983,0.23887697
100984,0.03277826
100987,0.055962842
100997,0.043330763
100998,0.20949507
101002,0.019191645
101005,0.265352
101008,0.3514994
101020,0.02858632
101021,0.07040415
101024,0.024174057
101025,0.18094689
101026,0.010447915
101031,0.018971575
101041,0.02398479
101051,0.004754579
101055,0.11960424
101056,0.29179066
101057,0.025575293
101064,0.01310971
101079,0.040497135
101087,0.008929524
101090,0.016109055
101092,0.118457384
101097,0.14965855
101099,0.03311249
101107,0.089524895
101118,0.0532651
101125,0.11665421
101126,0.007030206
101128,0.0059589613
101136,0.1355466
101140,0.03784148
101149,0.08119177
101160,0.09030939
101169,0.11522104
101181,0.049664613
101186,0.0058460105
101190,0.051944204
101193,0.19409099
101194,0.08166914
101198,0.07848137
101200,0.006081118
101204,0.03364535
101211,0.054048013
101213,0.036444444
101223,0.031581055
101225,0.15028201
101237,0.062320124
101243,0.0761236
101244,0.037568036
101258,0.02272241
101259,0.09793636
101268,0.06414512
101269,0.037423432
101271,0.014703786
101279,0.011969989
101281,0.32547742
101287,0.03906208
101292,0.0435348
101294,0.037847646
101296,0.07376534
101297,0.006488878
101299,0.0075233914
101301,0.051377468
101305,0.09942548
101308,0.105060734
101318,0.010505852
101327,0.18231344
101329,0.011043975
101332,0.055738658
101337,0.15507649
101343,0.03868565
101345,0.027062854
101346,0.00657213
101353,0.005653514
101354,0.16229221
101355,0.30087835
101356,0.014122578
101362,0.11857183
101363,0.4257842
101365,0.012352867
101366,0.08680898
101367,0.34053925
101368,0.011968256
101374,0.14210925
101380,0.005457476
101383,0.035157807
101398,0.016789347
101399,0.22934818
101401,0.31200162
101412,0.04705789
101426,0.05039227
101427,0.4393004
101428,0.16528194
101429,0.089345664
101434,0.02068591
101440,0.3192018
101448,0.09003545
101449,0.034051824
101465,0.0512483
101467,0.03413328
101472,0.038490944
101478,0.32882023
101497,0.077574536
101504,0.006703269
101547,0.019914033
101548,0.0766473
101555,0.105095334
101570,0.006880619
101572,0.022591969
101578,0.051239025
101580,0.1717385
101588,0.16765961
101602,0.066908434
101610,0.06060428
101614,0.061954357
101616,0.019515827
101643,0.14500648
101644,0.017980207
101649,0.00725026
101650,0.06754222
101665,0.0174455
101667,0.07923947
101669,0.15141715
101674,0.0886224
101675,0.01060331
101678,0.104869366
101682,0.024993436
101686,0.06458319
101697,0.34366608
101700,0.325902
101711,0.022667345
101714,0.037042353
101715,0.39092502
101728,0.0063543725
